,gender,Age Adjusted Rate,Butte,CALIFORNIA,Calaveras,Contra Costa,El Dorado,Fresno,Humboldt,Imperial,Inyo,Kern,Lake,Los Angeles,Madera,Marin,Mendocino,Merced,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Tehama,Tulare,Ventura,Yolo,Asian-NH,Black-NH,Hisp,Multi-NH,NHPI-NH,White-NH
Nevada,0.013510902875727229,0.11179773234161564,0.009371026523127055,0.027759340715512615,,0.021414840364585446,0.006968296686604392,0.017325458914170904,0.009371026523126982,0.00439938101292786,0.0031090102834790898,0.01576819753962222,0.005391280447457781,0.022158223837575493,0.008829871475975377,0.010372327314769409,0.007637880758528321,0.012141073279465718,0.0144170935301068,0.006228971007903958,1.0,0.01762253309924116,0.008829871475975425,,0.020907750412848106,0.021162501651860493,0.01848923633803089,0.02065049499829779,0.01959439523700137,0.016090165181635245,0.011289292467279936,0.015768197539622168,0.013323693005063144,0.019048482943986682,0.01214107327946573,0.009371026523127029,0.004399381012927857,0.01732545891417088,0.013696977919111876,0.012141073279465736,0.00439938101292793,0.011289292467280006,0.01609016518163522,0.006968296686604358,0.04003151098866237,0.032690095699928055,0.05478791167644814,0.02166485311477211,0.0098837724759625,0.11660190581423337
Orange,0.005122652531528128,0.05374509851416152,0.020005679837981013,0.05926186224075096,,0.045717343671802635,0.014876226439465167,0.03698715217885628,0.02000567983798108,0.009391992201998052,0.006637251979894992,0.03366264206180661,0.01150954276806552,0.04730435142605199,0.01885039822723025,0.022143300834962697,0.016305683984427007,0.025919297562440748,0.030778245760561478,0.013297881443046777,0.01762253309924116,1.0,0.01885039822723021,,0.04463478572593725,0.045178639882516025,0.0394716354408511,0.04408558554521265,0.04183097729612482,0.034349992753686304,0.024100878397936946,0.03366264206180667,0.028444006199429085,0.04066553970754061,0.025919297562440723,0.020005679837981027,0.009391992201998076,0.03698715217885603,0.029240911262111487,0.02591929756244118,0.00939199220199826,0.024100878397936898,0.03434999275368629,0.014876226439465108,0.05019769565133855,0.030506518307122032,0.02452463525209327,0.01851989324082309,0.021100312463908442,0.02208222323923681
Placer,0.049162132351616906,0.06167721317923727,0.010023960843999393,0.029693496619694722,,0.022906937758135053,0.0074538187426437235,0.01853262514318638,0.010023960843999253,0.004705911663208891,0.0033256332450103516,0.016866860244984707,0.005766922542686868,0.023702117113026753,0.009445100354191351,0.01109502812822055,0.008170056659820228,0.012987012987012894,0.01542161690327216,0.0066629799123437815,0.008829871475975425,0.01885039822723021,1.0,,0.022364515878519477,0.02263701712889208,0.019777489758510704,0.02208933597202843,0.02095965155288176,0.017211261258961028,0.012075883615225162,0.016866860244984568,0.014252032757629684,0.020375702352019045,0.01298701298701293,0.010023960843999487,0.0047059116632089055,0.01853262514318646,0.014651326618643625,0.012987012987012709,0.004705911663208881,0.01207588361522508,0.017211261258961025,0.00745381874264379,0.04282074089601482,0.034967806192200364,0.003662831654660945,0.02317437036140229,0.010572432811447013,0.07461302080875333
Plumas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,0.006697501920226323,0.009941035950177493,0.02373516670596435,0.07030954163925295,,0.05424003493967701,0.017649473417345633,0.04388234891559638,0.02373516670596451,0.011142860548648723,0.007874577794312113,0.03993807896411992,0.013655167858420955,0.05612289490323884,0.022364515878519554,0.02627128600450448,0.01934541244084036,0.03075120933296382,0.03651596946268919,0.015776891135067996,0.020907750412848106,0.04463478572593725,0.022364515878519477,,1.0,0.05360090523514337,0.04682999302862973,0.052304082176657905,0.049629166698547736,0.04075356653511675,0.028593797919787656,0.0399380789641195,0.033746577691761315,0.04824646660165185,0.030751209332964036,0.023735166705964292,0.011142860548648834,0.04388234891559637,0.03469204291287768,0.030751209332963953,0.01114286054864847,0.02859379791978774,0.04075356653511662,0.01764947341734555,0.05815200049686226,0.06839601569179449,0.029851292738987675,0.04000367048886328,0.025033862279850577,0.06892719435622834
Sacramento,0.0013621571896236108,0.05541696450440051,0.024024368700779366,0.07116623078530036,,0.054900924601743395,0.017864524062785415,0.04441703497871991,0.02402436870077928,0.011278631134907919,0.00797052587147002,0.04042470592775611,0.013821549743710432,0.056806726340444404,0.022637017128891983,0.02659138943638658,0.019581127316481605,0.031125898552225164,0.0369608996096762,0.01596912523414926,0.021162501651860493,0.045178639882516025,0.02263701712889208,,0.05360090523514337,1.0,0.04740059476776325,0.05294138315245773,0.05023387507022489,0.04125012983647565,0.02894220008187112,0.040424705927755836,0.03415776408482714,0.04883432741412574,0.031125898552225282,0.024024368700779446,0.011278631134907846,0.04441703497871997,0.03511474936103182,0.031125898552225258,0.011278631134907976,0.02894220008187119,0.04125012983647562,0.017864524062785235,0.02649606944537671,0.049133683807116676,0.008778687340257767,0.08523373293124174,0.025338888277727793,0.07230628062603726
San Bernardino,0.01078080014833798,0.017399749492024167,0.02098958989291559,0.062176451627618166,,0.04796579283663336,0.015607862099528707,0.03880623712007885,0.020989589892915418,0.009853904800732864,0.006963682224357778,0.03531822249039223,0.012075599755327085,0.04963085206923032,0.01977748975851072,0.023232342373036282,0.017107622561611243,0.027194048417951942,0.032291967149803834,0.013951891672497139,0.01848923633803089,0.0394716354408511,0.019777489758510704,,0.04682999302862973,0.04740059476776325,1.0,0.046253782339669605,0.04388828899473916,0.03603937814478651,0.025286196606593345,0.035318222490391966,0.029842926102621205,0.04266553339591428,0.02719404841795194,0.020989589892915782,0.009853904800732907,0.03880623712007872,0.030679024180005312,0.02719404841795189,0.009853904800733072,0.025286196606593436,0.03603937814478649,0.01560786209952871,0.023886404457903035,0.13345389892426351,0.02797205145823956,0.04852578112409161,0.02213805823229254,0.04746042136704589
San Diego,0.001329201088508578,0.0246909843281047,0.02344312188862083,0.06944443133689651,,0.053572648807829845,0.01743230884866069,0.04334240694963613,0.023443121888620737,0.011005755353057678,0.007777686558532076,0.03944666851309618,0.01348715045823164,0.05543234148122985,0.022089335972028456,0.025948035992503976,0.019107380514934973,0.03037283696153918,0.03606666570325282,0.015582767396783298,0.02065049499829779,0.04408558554521265,0.02208933597202843,,0.052304082176657905,0.05294138315245773,0.046253782339669605,1.0,0.04901851411274929,0.040252122073308486,0.028241971004305897,0.03944666851309649,0.03333134938348582,0.04765282718463384,0.03037283696153922,0.023443121888620935,0.01100575535305779,0.043342406949636154,0.034265181308691245,0.03037283696153929,0.011005755353057617,0.02824197100430609,0.04025212207330856,0.017432308848660476,0.03185503411051615,0.054122295439120074,0.014685077703724445,0.13768336111551327,0.024725837911305882,0.09896907274769172
San Francisco,0.03531426057512982,0.006181893988196364,0.022244202665006384,0.06589293064094097,,0.05083285677753585,0.016540792339471068,0.04112580605763413,0.0222442026650062,0.010442903198559507,0.007379923070607158,0.03742930199456745,0.012797395739001773,0.05259744175552117,0.020959651552881722,0.024621011404471052,0.01813019812766109,0.02881952088521206,0.034222158002925405,0.014785839433098604,0.01959439523700137,0.04183097729612482,0.02095965155288176,,0.049629166698547736,0.05023387507022489,0.04388828899473916,0.04901851411274929,1.0,0.03819356335513699,0.02679763086434074,0.03742930199456749,0.0316267301900724,0.045215784420335005,0.028819520885211964,0.022244202665006457,0.010442903198559485,0.04112580605763399,0.03251280443811794,0.028819520885212058,0.010442903198559518,0.02679763086434081,0.03819356335513717,0.01654079233947079,0.043410079785778974,0.08274391830611973,0.011122801518303412,0.051426317298670914,0.023461318512708555,0.06269180002989548
San Joaquin,0.01258735437623244,0.030931269228501628,0.018266085321064197,0.05410874515344319,,0.04174199062089147,0.013582663703477727,0.033770933202655624,0.018266085321064194,0.008575311225903388,0.006060109526095047,0.03073550596696279,0.01050873011617383,0.04319100006616268,0.017211261258961035,0.02021782941730035,0.014887822722844857,0.0236654842310712,0.02810192243643561,0.012141563745658678,0.016090165181635245,0.034349992753686304,0.017211261258961028,,0.04075356653511675,0.04125012983647565,0.03603937814478651,0.040252122073308486,0.03819356335513699,1.0,0.022005185761972773,0.030735505966962503,0.025970656749452713,0.03712946642857144,0.023665484231071232,0.01826608532106413,0.008575311225903387,0.033770933202655576,0.0266982669074492,0.023665484231071236,0.008575311225903211,0.022005185761972804,0.03136308805790187,0.013582663703477639,0.0696524684966766,0.06371981508482558,0.016429702712276183,0.04222931761916423,0.019265534132718747,0.0024975981922098476
San Luis Obispo,0.02794818428777247,0.027867230332195646,0.012815976535601018,0.03796415028553842,,0.029287302831642582,0.009529962017312503,0.023694594649214605,0.012815976535600791,0.0060166688989411864,0.004251935766447063,0.021564857294746758,0.0073732075713309544,0.030303966814320904,0.012075883615225177,0.014185372665160078,0.010445696673831792,0.01660433997093445,0.019717064287185643,0.008518847543672842,0.011289292467279936,0.024100878397936946,0.012075883615225162,,0.028593797919787656,0.02894220008187112,0.025286196606593345,0.028241971004305897,0.02679763086434074,0.022005185761972773,1.0,0.021564857294746612,0.018221710983212645,0.026051031852961544,0.016604339970934467,0.01281597653560097,0.006016668898941221,0.02369459464921457,0.018732221831489326,0.016604339970934478,0.006016668898941104,0.01543942992874163,0.022005185761972756,0.009529962017312535,0.054747780752642146,0.04470753533808552,0.031700683099443155,0.02962922455516707,0.013517216691526966,0.12003816962367679
