,Year,Rate
0,2000-2002,18.58475
1,2003-2005,17.39181818181818
2,2006-2008,19.026888888888887
3,2009-2011,22.347435897435897
4,2012-2014,19.95714285714286
5,2015-2017,20.175277777777783
